City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Leningradskiy,RU,2022-01-24 00:25:34,69.3833,178.4167,-13.58,95,100,5.1
140,Sherbakul,RU,2022-01-24 00:26:35,54.6316,72.3963,-7.92,100,67,3.11
141,Frontera,MX,2022-01-24 00:26:35,26.9333,-101.45,51.55,82,75,4.61
142,Polunochnoye,RU,2022-01-24 00:26:35,60.8697,60.4153,15.1,94,100,2.57
143,Provideniya,RU,2022-01-24 00:26:36,64.3833,-173.3,14.36,79,100,8.95
144,Rutland,US,2022-01-24 00:26:36,43.6167,-73.0162,24.62,86,100,0.0
145,Avarua,CK,2022-01-24 00:24:27,-21.2078,-159.775,80.65,94,75,16.11
146,Maraba,BR,2022-01-24 00:26:37,-5.3686,-49.1178,78.98,100,20,0.0
147,Mitsamiouli,KM,2022-01-24 00:26:37,-11.3847,43.2844,81.03,80,100,26.57
148,Roebourne,AU,2022-01-24 00:26:37,-20.7833,117.1333,86.0,64,46,5.46
149,Garissa,KE,2022-01-24 00:26:38,-0.4536,39.6401,75.9,68,8,7.58
150,Ahipara,NZ,2022-01-24 00:26:38,-35.1667,173.1667,71.49,70,100,12.41
151,Tuatapere,NZ,2022-01-24 00:26:38,-46.1333,167.6833,60.82,52,36,4.45
152,Yuanping,CN,2022-01-24 00:26:39,38.7153,112.7575,29.66,74,97,0.29
153,Kodiak,US,2022-01-24 00:25:04,57.79,-152.4072,42.31,81,100,12.66
154,Marawi,PH,2022-01-24 00:26:39,7.9986,124.2928,67.64,95,100,2.84
155,Kortkeros,RU,2022-01-24 00:26:39,61.8106,51.5806,10.4,96,97,5.88
156,Ilhabela,BR,2022-01-24 00:26:40,-23.7781,-45.3581,77.56,90,57,8.19
157,Hami,CN,2022-01-24 00:26:40,42.8,93.45,21.87,58,0,4.68
158,Talnakh,RU,2022-01-24 00:26:41,69.4865,88.3972,-3.23,99,99,6.69
159,Souillac,MU,2022-01-24 00:23:38,-20.5167,57.5167,79.18,89,20,3.44
160,Lompoc,US,2022-01-24 00:26:41,34.6391,-120.4579,73.56,59,0,8.05
161,Pusad,IN,2022-01-24 00:26:41,19.9,77.5833,58.3,51,5,6.17
162,Cayenne,GF,2022-01-24 00:26:42,4.9333,-52.3333,78.1,88,75,1.99
163,Kudahuvadhoo,MV,2022-01-24 00:26:42,2.6708,72.8944,80.6,72,93,11.41
164,Pailon,BO,2022-01-24 00:26:42,-17.65,-62.75,79.7,75,68,7.16
165,Danielskuil,ZA,2022-01-24 00:26:43,-28.1887,23.5395,62.56,44,4,7.87
166,Saskylakh,RU,2022-01-24 00:26:43,71.9167,114.0833,-18.76,100,97,4.25
167,Faya,SA,2022-01-24 00:26:43,18.3851,42.4509,50.11,55,42,3.4
168,Cabo San Lucas,MX,2022-01-24 00:23:40,22.8909,-109.9124,72.7,72,100,1.01
169,Livingston,GB,2022-01-24 00:22:16,55.9029,-3.5226,43.81,81,100,13.8
170,Brylivka,UA,2022-01-24 00:26:44,46.4248,33.1472,26.98,75,100,16.26
