City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
297,Puerto Quijarro,BO,82.9,scattered clouds,-17.7833,-57.7667,Hotel palance
298,Giyani,ZA,79.68,broken clouds,-23.3025,30.7187,Kulani Country Lodge
299,Cockburn Town,TC,77.54,clear sky,21.4612,-71.1419,Osprey Beach Hotel
301,Araouane,ML,84.81,overcast clouds,18.9048,-3.5265,
302,Yulara,AU,84.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
305,San-Pedro,CI,86.61,overcast clouds,4.7485,-6.6363,Hotel Maria
308,Champerico,GT,87.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
310,La Peca,PE,76.59,overcast clouds,-5.6111,-78.435,Hospedaje San Miguelito
311,Axim,GH,88.36,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
312,Ca Mau,VN,76.82,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
315,Mackay,AU,80.58,scattered clouds,-21.15,149.2,International Lodge Motel
318,Lodja,CD,79.99,broken clouds,-3.4833,23.4333,
319,Manaus,BR,82.9,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
322,Flinders,AU,76.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
330,Santo Tomas,PH,79.57,few clouds,14.1079,121.1414,Microtel by Wyndham Batangas
331,Mercedes,AR,82.85,clear sky,-34.6515,-59.4307,Posada del Inti Centro
332,Barra Do Corda,BR,76.33,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
334,Grajau,BR,75.43,overcast clouds,-5.8194,-46.1386,Hotel Confiança
338,Luganville,VU,78.62,light rain,-15.5333,167.1667,The Espiritu Hotel
341,Kaduqli,SD,85.23,scattered clouds,11.0167,29.7167,فندق الله جابو
348,Tumpat,MY,78.78,few clouds,6.1978,102.171,Baan Tanyong B&B
352,Bosaso,SO,76.1,overcast clouds,11.2842,49.1816,Red Sea Hotel
355,Harper,LR,85.24,broken clouds,4.375,-7.7169,Screensaver
357,Tessalit,ML,83.8,few clouds,20.1986,1.0114,
362,Jutai,BR,80.35,overcast clouds,-5.1833,-68.9,
366,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
370,Comodoro Rivadavia,AR,82.26,clear sky,-45.8667,-67.5,Austral Hotel
372,Sao Luiz Gonzaga,BR,85.68,clear sky,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
375,Mozarlandia,BR,81.93,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
377,Itabira,BR,78.94,broken clouds,-19.6192,-43.2269,Premium Executive Hotel
378,Kirakira,SB,80.29,overcast clouds,-10.4544,161.9205,SanBiz Lodge
384,Saldanha,ZA,87.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
387,Jamame,SO,79.77,clear sky,0.0722,42.7506,
390,Dong Xoai,VN,75.29,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
393,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
394,Daru,PG,77.95,moderate rain,-9.0763,143.2092,Daru Lodge
397,Rumonge,BI,77.61,light rain,-3.9736,29.4386,Kwetu Guest House
398,Bokoro,TD,85.96,overcast clouds,12.3807,17.0568,
401,Bengkulu,ID,77.41,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
404,Maumere,ID,79.79,overcast clouds,-8.6199,122.2111,Sylvia Hotel
413,Namibe,AO,75.52,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
414,Camopi,GF,79.63,scattered clouds,3.1655,-52.3158,La pousada
416,Labuhan,ID,79.45,overcast clouds,-6.8844,112.2051,DoubleFAG
421,Macara,EC,78.37,overcast clouds,-4.3833,-79.95,Hostal Macará
428,Birao,CF,89.53,scattered clouds,10.2849,22.7882,
430,Geraldton,AU,75.13,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
434,Kloulklubed,PW,81.91,broken clouds,7.0419,134.2556,Storyboard Beach Resort
435,Buala,SB,80.1,light rain,-8.145,159.5921,Maringe Lagoon Lodge
436,Humberto De Campos,BR,81.46,light rain,-2.5983,-43.4611,Pousada do Cabeça
440,Tena,EC,82.24,light rain,-0.9833,-77.8167,Hostal Tena Ñaui
442,Sinnamary,GF,81.66,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
444,Olinda,BR,77.07,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
448,Jizan,SA,82.27,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
449,Pilar,BR,85.93,light rain,-9.5972,-35.9567,Pousada e churrascaria Manguaba
452,Boditi,ET,76.05,clear sky,6.9667,37.8667,Me'aza Metasebiya Hotel.
454,Saquarema,BR,79.86,broken clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
455,Nguru,NG,82.17,scattered clouds,12.8791,10.4526,Government Lodge
456,Salgueiro,BR,75.74,overcast clouds,-8.0742,-39.1192,Hotel Requinte
459,Cidreira,BR,75.72,scattered clouds,-30.1811,-50.2056,Hotel Castelo
